City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
536,Doka,SD,82.8,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
537,Ratnagiri,IN,79.81,clear sky,16.9833,73.3,Hotel Landmark
539,Bojonegoro,ID,80.53,overcast clouds,-7.1502,111.8817,Dewarna Hotel & Convention
541,Redding,US,89.37,clear sky,40.5865,-122.3917,Redding Inn & Suites
542,Ibra,OM,78.24,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
547,San Joaquin,US,91.13,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
567,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
577,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
578,Tevaitoa,PF,81.18,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
588,Dawei,MM,81.36,broken clouds,14.0833,98.2,Hotel Dawei
590,Tarpon Springs,US,81.14,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
592,Arvin,US,89.73,clear sky,35.2091,-118.8284,Geo Rizo
593,Sierra Vista,US,80.76,clear sky,31.5545,-110.3037,Gateway Studio Suites
599,Phibun Mangsahan,TH,80.1,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
604,Male,MV,84.15,light rain,4.1748,73.5089,Hotel Octave Maldives
611,Maracaibo,VE,81.0,broken clouds,10.6317,-71.6406,Motel Aladdin
613,Buchanan,LR,79.86,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
616,Tahoua,NE,89.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
619,Dangriga,BZ,80.28,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
620,San Ignacio,BZ,89.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
621,Vanimo,PG,86.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
623,Hami,CN,78.28,overcast clouds,42.8,93.45,Laoyutang Resort
627,Jackson,US,82.27,clear sky,42.4165,-122.8345,Agate Village Apartments
632,Kudahuvadhoo,MV,82.15,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
633,Bawku,GH,87.44,overcast clouds,11.0616,-0.2417,Ultimate Guest House
635,Samarai,PG,83.35,broken clouds,-10.6167,150.6667,Nuli Sapi
646,Guanare,VE,86.02,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
648,Sur,OM,80.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
649,Waingapu,ID,84.16,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
655,Kieta,PG,86.02,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
656,San Juan De Los Morros,VE,79.25,scattered clouds,9.9115,-67.3538,Hotel La Montaña
666,Reynosa,MX,84.97,clear sky,26.0833,-98.2833,Hotel El Camino Inn & Suites
671,Anloga,GH,81.75,moderate rain,5.7947,0.8973,Pin Drop Hotel
680,Lovington,US,82.33,overcast clouds,32.944,-103.3485,Buena vida rv parks
681,Garowe,SO,81.9,overcast clouds,8.4054,48.4845,Curubo Hotel
682,Paso Blanco,PA,80.22,broken clouds,9.1333,-79.2333,Urbanizacion Villas de Tanara
685,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
