City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Tuatapere,NZ,2022-04-29 00:16:12,-46.1333,167.6833,55.62,72,46,3.33
59,Hithadhoo,MV,2022-04-29 00:16:12,-0.6,73.0833,84.74,65,71,5.41
60,Kavieng,PG,2022-04-29 00:16:13,-2.5744,150.7967,85.66,65,100,8.5
61,Tura,IN,2022-04-29 00:16:13,25.5198,90.2201,72.48,89,0,4.05
62,Thompson,CA,2022-04-29 00:16:14,55.7435,-97.8558,46.56,39,75,9.22
63,Iranshahr,IR,2022-04-29 00:16:14,27.2025,60.6848,79.14,27,0,4.61
64,Mogadishu,SO,2022-04-29 00:14:10,2.0371,45.3438,82.76,76,91,9.22
65,New Norfolk,AU,2022-04-29 00:16:15,-42.7826,147.0587,67.5,80,6,3.98
66,Adrar,MR,2022-04-29 00:16:16,20.5022,-10.0711,75.45,12,0,8.3
67,Port Lincoln,AU,2022-04-29 00:16:16,-34.7333,135.8667,64.69,73,100,12.64
68,Bahia Blanca,AR,2022-04-29 00:16:16,-38.7196,-62.2724,46.53,43,11,8.25
69,Tasiilaq,GL,2022-04-29 00:16:17,65.6145,-37.6368,30.36,85,19,5.39
70,Norman Wells,CA,2022-04-29 00:16:17,65.282,-126.8329,41.04,56,75,10.36
71,College,US,2022-04-29 00:16:18,64.8569,-147.8028,52.81,38,75,4.61
72,Pevek,RU,2022-04-29 00:16:18,69.7008,170.3133,26.96,95,100,8.75
73,Kenora,CA,2022-04-29 00:12:08,49.8167,-94.4337,46.78,31,100,8.99
74,Santa Rosa,PH,2022-04-29 00:16:19,14.3122,121.1114,88.09,71,93,14.07
75,Lebu,CL,2022-04-29 00:16:19,-37.6167,-73.65,50.41,79,4,15.39
76,Santiago Del Estero,AR,2022-04-29 00:16:20,-27.7951,-64.2615,66.88,30,100,7.47
77,Kutum,SD,2022-04-29 00:16:20,14.2,24.6667,78.1,12,79,5.37
78,Hilo,US,2022-04-29 00:16:21,19.7297,-155.09,81.28,76,40,14.97
79,Egvekinot,RU,2022-04-29 00:16:21,66.3167,-179.1667,30.02,79,6,3.47
80,Arak,IR,2022-04-29 00:16:21,34.0917,49.6892,57.67,50,95,1.79
81,Sangueya,GN,2022-04-29 00:16:22,10.7,-14.3667,76.28,83,15,3.67
82,Madang,PG,2022-04-29 00:16:22,-5.2246,145.7966,83.43,77,100,1.99
83,Longyearbyen,SJ,2022-04-29 00:16:23,78.2186,15.6401,6.64,61,20,13.8
84,Nambucca Heads,AU,2022-04-29 00:16:23,-30.65,153.0,77.0,69,15,5.35
85,Coari,BR,2022-04-29 00:16:24,-4.085,-63.1414,75.27,96,96,3.09
86,Porto Novo,BJ,2022-04-29 00:16:24,6.4965,2.6036,78.62,79,72,4.59
87,Lorengau,PG,2022-04-29 00:16:25,-2.0226,147.2712,85.08,66,100,2.21
